Trunc. area,184.6,133.53,4,3.05E-18,,,add8,9,42,359.9,add8u
Trunc. area,184.6,125.02,8,8.81E-16,,,add32,33,184.6,1843.3,rca32
Trunc. area,184.6,117.57,12,2.27E-13,,,mult8,16,435.4,1255.2,am8
Trunc. area,184.6,110.12,16,5.82E-11,,,mult16,32,1418.8,1981.5,
Trunc. area,184.6,102.68,20,1.49E-08,,,mult32,64,5723.3,1873.5,
Trunc. delay,1843.3,1822.48,4,3.05E-18,,,,,,,
Trunc. delay,1843.3,1844.57,8,8.81E-16,,,,,,,
Trunc. delay,1843.3,1848.74,12,2.27E-13,,,,,,,
Trunc. delay,1843.3,1801.01,16,5.82E-11,,,,,,,
Trunc. delay,1843.3,1753.28,20,1.49E-08,,,,,,,
MECALS area,184.6,129.28,4,3.05E-18,,,,,,,
MECALS area,184.6,110.12,8,8.81E-16,,,,,,,
MECALS area,184.6,92.04,12,2.27E-13,,,,,,,
MECALS area,184.6,73.95,16,5.82E-11,,,,,,,
MECALS area,184.6,55.86,20,1.49E-08,,,,,,,
MECALS delay,1843.3,1764.53,4,3.05E-18,,,,,,,
MECALS delay,1843.3,1523.6,8,8.81E-16,,,,,,,
MECALS delay,1843.3,1273.69,12,2.27E-13,,,,,,,
MECALS delay,1843.3,1023.78,16,5.82E-11,,,,,,,
MECALS delay,1843.3,773.87,20,1.49E-08,,,,,,,
